Episode,Reward Mean,Reward Std
0,20.0,9.939818911831342
1,26.94,20.39746062626424
2,29.94,21.357350022884393
3,26.86,16.925731889640698
4,34.42,30.180848231950016
5,34.96,27.566617492902534
6,35.58,28.407104745116143
7,50.76,41.09625773717116
8,40.54,34.46169467684374
9,44.54,43.23295502276012
10,40.46,27.762716005463155
11,53.22,46.664457566760596
12,50.68,49.70691702368997
13,42.74,28.07120232551502
14,41.4,25.126878039263055
15,43.48,31.199512816709174
16,45.52,30.354070567223758
17,50.42,35.47172958850471
18,47.18,36.22192153931097
19,54.54,43.12827842610925
20,59.52,40.23045612468245
21,55.84,40.233498480743634
22,54.36,35.36594972568954
23,56.96,35.78992036872951
24,57.62,42.79994859809997
25,58.24,33.24669006081658
26,55.58,41.14126395724857
27,64.08,49.51397378518514
28,64.5,47.68574210390355
29,62.14,38.14184578648496
30,62.08,37.83111946532906
31,62.48,42.60809312794929
32,65.78,39.80567296253137
33,71.88,47.73956011527547
34,69.4,45.59166590507524
35,73.14,49.21097844993533
36,59.9,42.73090216693301
37,61.62,40.21536522276031
38,66.44,47.10972723334322
39,70.22,51.5756880710282
40,64.8,49.14631217090453
41,66.6,53.98073730507948
42,69.52,48.21171641831475
43,72.34,52.536315059204526
44,67.94,43.88139013294815
45,71.62,48.79093768313948
46,69.76,45.94063996071453
47,69.6,46.67033318929703
48,70.98,42.629327932774174
49,67.22,41.13455481708779
50,70.56,47.521851815769985
51,76.04,53.50699393537259
52,70.54,51.67560739846219
53,64.62,45.89810017854769
54,61.4,41.68884742949846
55,65.54,43.9869116897288
56,71.84,52.04819305220883
57,71.26,49.68815150516267
58,70.14,47.180508687380645
59,67.96,41.16112729262891
60,69.24,45.905363521052756
61,70.62,41.72428070081016
62,72.46,45.397889818801055
63,69.44,41.088762453984906
64,81.88,49.59743541756973
65,83.42,50.7247828975147
66,84.2,50.29035692854049
67,80.14,49.55038244050191
68,77.66,51.82571176549339
69,75.94,49.672692699309145
70,72.84,45.35917106826358
71,75.48,43.60607297154834
72,76.64,45.47164391134324
73,78.18,48.86090052383399
74,74.52,38.82125191180728
75,75.66,46.58137395998533
76,80.58,44.517003493047454
77,89.52,52.68747099643329
78,83.22,52.77245114640782
79,78.44,46.999642551832245
80,74.52,48.0363362466373
81,72.38,44.612953275926486
82,73.02,47.282762186657415
83,75.06,48.482330802056126
84,75.12,46.91935208418804
85,73.52,47.400945138256475
86,74.94,51.00369006258272
87,76.72,48.248539874280134
88,76.64,45.00078221542377
89,82.0,55.003636243433945
90,81.16,53.85178177182256
91,74.56,48.66380996181864
92,78.34,47.36142312051022
93,81.22,46.3643354314499
94,83.08,55.52074927448295
95,81.42,50.06039951898108
96,81.42,49.27152930445736
97,83.3,51.38647682026857
98,85.6,52.395419647140926
99,81.08,48.43421930825354
100,78.98,46.86768182873993
101,83.4,53.11798188937528
102,83.3,52.41116293310042
103,81.22,51.90040076916554
104,84.48,55.35096747121951
105,86.54,55.870281903709774
106,92.46,61.13958128741151
107,85.42,55.921763205392594
108,91.44,57.655584291549765
109,88.46,56.677053557855324
110,85.72,54.3330617580125
111,81.6,52.79545434978281
112,79.18,51.34420707343722
113,82.22,49.170840952743525
114,83.34,47.97316333117924
115,87.24,49.81146855895738
116,88.0,49.87223676555925
117,90.96,47.56972146229154
118,90.86,51.38132345512326
119,90.86,51.813901609510154
120,85.48,48.74227733703053
121,84.04,47.85016614391218
122,88.86,51.943049583173305
123,90.98,54.340588881608554
124,96.36,57.567963312939945
125,95.44,54.336418726301794
126,93.06,55.902203892154375
127,96.96,55.578398681502144
128,100.4,58.34792198527724
